GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022400799,73,2,79,1,7:20 PM,7:07,MISS Poole 26' 3PT Pullup Jump Shot,,,,,4,1629673,Jordan Poole,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400799,74,4,0,1,7:20 PM,7:04,,,Green REBOUND (Off:0 Def:2),,,5,1631260,AJ Green,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,,1
0022400799,75,2,1,1,7:20 PM,6:56,,,MISS Trent Jr. 26' 3PT Jump Shot,,,5,1629018,Gary Trent Jr.,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,,1
0022400799,76,4,0,1,7:20 PM,6:53,,,Lopez REBOUND (Off:1 Def:1),,,5,201572,Brook Lopez,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,,1
0022400799,78,9,1,1,7:20 PM,6:48,WIZARDS Timeout: Regular (Full 1 Short 0),,,,,2,1610612764,,,,,,0,0,,,,,,0,0,,,,,,0
0022400799,80,6,26,1,7:24 PM,6:44,,,Antetokounmpo Offensive Charge Foul (P2) (M.Dagher),,,5,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,4,203114,Khris Middleton,1610612764.0,Washington,Wizards,WAS,1,0,,,,,,1
0022400799,82,5,37,1,7:24 PM,6:44,,,Antetokounmpo Offensive Foul Turnover (P2.T3),,,5,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,1,0,,,,,,1
0022400799,83,6,2,1,7:24 PM,6:35,,,Rollins S.FOUL (P2.PN) (J.Sterling),,,5,1631157,Ryan Rollins,1610612749.0,Milwaukee,Bucks,MIL,4,1642259,Alex Sarr,1610612764.0,Washington,Wizards,WAS,1,0,,,,,,1
0022400799,85,3,11,1,7:24 PM,6:35,MISS Sarr Free Throw 1 of 2,,,,,4,1642259,Alex Sarr,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400799,86,4,1,1,7:24 PM,6:35,WIZARDS Rebound,,,,,2,1610612764,,,,,,0,0,,,,,,0,0,,,,,,0
0022400799,87,8,0,1,7:24 PM,6:35,,,SUB: Connaughton FOR Antetokounmpo,,,5,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,5,1626192,Pat Connaughton,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0
0022400799,89,3,12,1,7:25 PM,6:35,Sarr Free Throw 2 of 2 (6 PTS),,,8 - 14,6,4,1642259,Alex Sarr,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400799,90,2,101,1,7:25 PM,6:21,,,MISS Lopez 10' Driving Floating Jump Shot,,,5,201572,Brook Lopez,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,,1
